n,p1,p2,pr_factor,run_pr,peak
949892838669967,949889989,1000003,1000003,0.0032556109999859473,268
10369425620529061,949889989,10916449,10916449,0.019037819000004674,268
13768293482469191,949889989,14494619,14494619,0.006768713000155913,268
94989005549229923,949889989,100000007,100000007,0.019847880000043006,268
902290991202420121,949889989,949889989,949889989,0.18409366900004898,268
5619157133478069953,949889989,5915587277,5915587277,0.10972942200032776,292
3199134791268666557,949889989,3367900313,3367900313,0.11152620699976978,292
69849517391927815537,949889989,73534323133,949889989,0.21144354799980647,292
28848060465187810667,949889989,30369896303,949889989,0.21455158200024016,292
96642279227574907037,949889989,101740496633,949889989,0.2234090259998993,292
335666166371985724673,949889989,353373727757,949889989,0.22253830099998595,292
3354609766334803220171,949889989,3531577135439,949889989,0.13307201499992516,292
8639881310066609807693,949889989,9095665192937,949889989,0.21860235999974975,292
26582702497094758506929,949889989,27985032798461,949889989,0.22847400800037576,292
77648095164322559684369,949889989,81744303091421,949889989,0.22230126400063455,300
304207943146905032369089,949889989,320255973501901,949889989,0.22982511000009254,300
924594045251378401712831,949889989,973369606963379,949889989,0.22663909400034754,300
2239226370239371985724673,949889989,2357353373727757,949889989,0.22598631599976216,300
4854993277111118604687691,949889989,5111111111111119,949889989,0.33440001499911887,300
35264198538557619456210193,949889989,37124508045065437,949889989,0.23390882100102317,300
71001877965656565205607783,949889989,74747474747474747,949889989,0.21447046899993438,300
587810561673503115622848911,949889989,618819619619660099,949889989,0.2243652570014092,300
422173539723207989503211111,949889989,444444666868899899,949889989,0.0763906890006183,300
59197281880939,5915587277,10007,10007,0.0006705659998260671,268
591505487414507,5915587277,99991,99991,0.003931469000235666,268
2368050996094039,5915587277,400307,400307,0.003005542999744648,268
2368192970188687,5915587277,400331,400331,0.0029400889998214552,268
5915605023761831,5915587277,1000003,1000003,0.0034000949999608565,268
64577206814419373,5915587277,10916449,10916449,0.03284927500135382,268
85744183741362463,5915587277,14494619,14494619,0.005467109000164783,268
591558769109110939,5915587277,100000007,100000007,0.0314752589983982,268
5619157133478069953,5915587277,949889989,949889989,0.21025821500006714,292
34994172831804274729,5915587277,5915587277,5915587277,0.4835159089998342,292
19923108241787117701,5915587277,3367900313,5915587277,0.46759652399850893,292
434998706348381578841,5915587277,73534323133,5915587277,0.16950251399975969,292
179655772173836136931,5915587277,30369896303,5915587277,0.1727442580013303,292
